_class,Username,page,timestamp,videoId,round,component,componentValue,userId
de.tum.rs.dao.Interaction,Doraemon,Profile,1714237010288,,2,Topic Preferences: Sliders,Nikon Photography,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714237011589,,2,Topic Preferences: Sliders,Popular Science,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237242354,oGova5OjIgQ,3,Video: Info button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237244361,oGova5OjIgQ,3,Info Button: Explaination,open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237247243,oGova5OjIgQ,3,Info Button: Explaination,close,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714237260332,,3,Topic Preferences: Sliders,Popular Science,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714237263126,,3,Topic Preferences: Sliders,Flower Decoration,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714237267608,,3,Topic Preferences: Sliders,Travel Guides,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714237280408,,3,Topic Preferences: Sliders,DIY Decoration,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714237287776,,3,Topic Preferences: Sliders,Horse Racing,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714237291004,,3,Topic Preferences: Sliders,Samsung Galaxy,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714237292912,,3,Topic Preferences: Sliders,Thai Journey,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237305726,hFCgDOtzZpA,3,Video: Info button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237307498,hFCgDOtzZpA,3,Info Button: Explaination,open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237326098,27-656ubvZI,3,Like button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237370656,sujhmveZI8s,3,Video: Info button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237372602,sujhmveZI8s,3,Info Button: Explaination,open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237511584,E9wGAXc4JFc,3,Like button,,Doraemon
